job_title,location,job_desc,applicants,company,level,job_length
Software Engineer (New Grad),"Atlanta, GA","
        <strong><u>Company Description<br><br></u></strong>Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.<br><br><strong><u>Job Description<br><br></u></strong>Our software engineers keep Square simple and make our users faster and smarter by giving them a designed payments experience and rich data surrounding each transaction. We're looking for engineers of all shapes and sizes, who are excited about building outstanding software and solving hard problems. Our challenges span many technologies, from web and mobile applications (iOS, Android) to server-side development (Java, Ruby). As an engineer at Square, you will work on a small team with people across engineering, product, and creative, building reliable, fast, responsive, and beautiful software<br><br><strong><u>You Will Build And Impact<br></u></strong><ul><li>Reliability: Ensure Square works right, every time, by using testing, continuous integration, and in-depth code reviews</li><li>Security: Create interactions and APIs that promote trust, increase security, and make it harder to do the wrong thing</li><li>Analytics: Collect all the data around every transaction and turn it into tools that help our users</li><li>Products: Envision entire new products, features, and flows that are inspired, considered, and magical</li><li>Fraud Prevention: Make quick decisions on millions of dollars which requires diligence and passion for detecting bad actors and preventing loss<br><br></li></ul><strong><u>You Have<br><br></u></strong><strong>Qualifications<br></strong><ul><li>An expected graduation date between December 2020 and August 2021 and are completing a degree in Computer Science, Electrical Engineering, Math or related technical field. Bootcamp graduates and engineering training participants are also considered upon completion of program requirements</li><li>Programming experience in one or more object-oriented languages, including: Java, Python, Ruby, Go, Kotlin, Swift, C, C++ <br><br></li></ul><strong><u>Technologies We Use And Teach<br></u></strong><ul><li>Java, Python, Ruby, Go, Kotlin, Swift, C<br><br></li></ul><strong><u>Additional Information<br><br></u></strong>At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible.<br><br><strong>Perks<br><br></strong>At Square, we want you to be well and thrive. Our global benefits package includes:<br><ul><li>Healthcare coverage</li><li>Retirement Plans</li><li>Employee Stock Purchase Program</li><li>Wellness perks</li><li>Paid parental leave</li><li>Flexible time off</li><li>Learning and Development resources</li></ul>
      ","
            Over 200 applicants
          ","
        
          Square
        
      ","
            Entry level
          ","
          Full-time
        "
Software Engineer,"Atlanta, GA","
        <p><strong>Who we are:</strong></p><p><br></p><p>At Grayscale, our mission is to make the hiring process more human. Our candidate engagement platform powers high volume hiring for brands like Wayfair, Amazon Pharmacy, and Warby Parker. With Grayscale, hiring teams can engage candidates via SMS and automate a white glove experience with each and every candidate, speeding up hiring outcomes by 3x.&nbsp;</p><p><br></p><p>At Grayscale, we value integrity, curiosity, and an entrepreneurial spirit in the people we hire. We check our egos at the door, practice mutual accountability, and strive to foster an environment where risk-taking is encouraged.&nbsp;</p><p>Sound like you? If so, keep reading. 😄</p><p><br></p><p><strong>Ideally, you...</strong></p><p><br></p><ul><li>Have a few years of professional experience contributing to, building, or maintaining web applications</li><li>Are proficient in modern web technology (e.g. React, Ruby on Rails)</li><li>Are comfortable working in cloud environments</li><li>Have working knowledge of security best practices (OWASP Top 10)</li><li>Have experience collaborating via Git and Github</li><li>Are interested in user experience and usability</li></ul><p><br></p><p><strong>A typical week will involve...</strong></p><p><br></p><ul><li>Building, extending, and testing the core platform</li><li>Exploring new product ideas on the whiteboard and prototypes</li><li>Triaging and fixing customer issues when necessary</li></ul><p><br></p><p><strong>Here’s some of the technology we use...</strong></p><p><br></p><p><u>Application</u></p><ul><li>Ruby on Rails</li><li>React</li><li>GraphQL via Apollo</li><li>Tailwind CSS</li></ul><p><br></p><p><u>Database</u></p><ul><li>PostgreSQL</li><li>Redis</li></ul><p><br></p><p><u>Infrastructure</u>/Ops</p><ul><li>Heroku</li><li>AWS</li></ul><p><br></p><p><u>Management</u></p><ul><li>Clubhouse</li><li>Slack</li><li>Github</li></ul><p><br></p><p><strong><span class=""ql-cursor"">﻿</span>Still interested?</strong> Drop us a line and say hello. 👋</p><p><br></p>
      ","
          36 applicants
        ","
        
          Grayscale
        
      ",N/A,"
          Full-time
        "
"Software Engineer, Early Career","Atlanta, GA","
        <strong>Please complete your application before June 25, 2021. <br><br></strong>By applying to this position, you will be considered for all potential Software Engineering opportunities. Roles may vary by location and will be discussed in more detail with your recruiter after completion of onsite interviews.<br><br>This program is intended for candidates with 1-3 years of experience. If you have less than 1 year of experience, please check the student careers site for internships and university graduate opportunities. If you have more than 3 years of experience, please check our industry openings .<br><br>Note: By applying to this position you will have an opportunity to share your preferred working location for this position from the following: <strong>Mountain View, CA, USA; Atlanta, GA, USA; Austin, TX, USA; Chicago, IL, USA; Irvine, CA, USA; Boulder, CO, USA; Los Angeles, CA, USA; Madison, WI, USA; New York, NY, USA; Pittsburgh, PA, USA; Raleigh, NC, USA; San Bruno, CA, USA; Seattle, WA, USA; Washington, DC, USA<br><br></strong>Minimum qualifications:<br><ul> <li>Bachelor’s degree or equivalent practical experience.</li> <li>1 year of software development experience.</li> <li>Experience programming with two or more of the following languages: C, C++, C#, Java, JavaScript, Go and/or Python.</li> <li>Experience working one or more of the following: web or mobile application development, Unix/Linux environments, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.</li> <br><br></ul>Preferred qualifications:<br><ul> <li>Experience developing accessible technologies.</li> <li>Working proficiency in verbal and written English.</li> <li>Interest and ability to learn other coding languages.</li> <br><br></ul><strong><u>About The Job<br><br></u></strong>Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.<br><br>Google aspires to be an organization that reflects the globally diverse audience that our products and technology serve. We believe that in addition to hiring the best talent, a diversity of perspectives, ideas, and cultures leads to the creation of better products and services.<br><br>Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.<br><br><strong><u>Additional Information<br><br></u></strong>(Colorado only*) Minimum salary of $111,000 + bonus + equity + benefits.<br><li>Note: Disclosure as required by sb19-085 (8-5-20) of the minimum salary compensation for this role when being hired into our offices in Colorado.<br><br></li><strong><u>Responsibilities<br><br></u></strong><ul> <li>Design, develop, test, deploy, maintain, and improve software.</li> <li>Manage individual project priorities, deadlines, and deliverables.</li> <br><br></ul>Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .
      ","
            Be among the first 25 applicants
          ","
        
          Google
        
      ","
            Not Applicable
          ","
          Full-time
        "
Junior Software Engineer,"Atlanta, GA","
        <p>The ideal candidate will be responsible for developing high-quality applications. They will also be responsible for designing and implementing testable and scalable code.&nbsp;</p><p>&nbsp;</p><strong>Responsibilities</strong><ul><li>Develop quality software and web applications </li><li>Analyze and maintain existing software applications </li><li>Design highly scalable, testable code </li><li>Discover and fix programming bugs</li></ul><p><strong><br></strong></p><p><strong>Qualifications</strong></p><p></p><ul><li>Bachelor's degree or equivalent experience in Computer Science or related field </li><li>Development experience with programming languages </li><li>SQL database or relational database skills</li></ul><p></p>
      ","
            Over 200 applicants
          ","
        
          Tata Consultancy Services
        
      ","
            Entry level
          ","
          Full-time
        "
Software Developer (Junior),"Atlanta, GA","
        <p><strong>ABOUT US</strong>: InductiveHealth delivers impact for the greater good, solving complex public health technology problems for governments around the globe. The company’s work can be seen in the United States supporting State and Federal health agencies, in Africa supporting 95-95-95, and elsewhere globally, delivering some of the most complex technology challenges in public health. InductiveHealth is a key player in the COVID-19 response, collecting near real-time data on the outbreak’s progression and providing the underlying technology supporting contact tracing efforts for nearly a dozen US states and territories, as well as in support of nationwide efforts for the Centers for Disease Control and Prevention.</p><p><br></p><p><strong>OUR MISSION</strong>: To stop communicable disease through technology</p><p><br></p><p><strong>OUR VALUES</strong>:</p><ol><li>We deliver: We take on and deliver challenging efforts that drive mission results</li><li>We think differently: We continuously challenge ourselves to approach problems in new ways</li><li>We are efficient: We bring enormous mission value compared to our costs</li><li>We are open and honest: We communicate openly, honestly, and directly</li><li>We act with integrity: We live our values even when it is hard</li></ol><p><br></p><p><strong>YOUR OPPORTUNITY</strong>:&nbsp;The Junior Software Engineer will work to deliver business-led, technology enabled solutions for our State and Federal clients. In this hands-on role, you will be responsible for enhancement and construction of client facing and internal solutions. We are looking for someone who:</p><ul><li>Has 1+ years of hands-on experience (including internships) in Java development, preferably backend implementation</li><li>Has experience in SQL</li><li>Has an undergraduate degree in Computer Science</li><li>Can analyze problems and implement effective technical solutions</li><li>Is comfortable with being uncomfortable and open to growing professionally and personally through coaching and feedback</li><li>Has a positive attitude in-person and virtually</li><li>Can gather and interpret information</li><li>Can effectively manage multiple assignments and priorities</li><li>Has excellent communication and presentation skills</li><li>Can develop good working relationships with business sponsors, business partners and technical staff</li><li>While not required, has experience in software development in the healthcare industry</li><li>While not required, has experience working in Software as a Service (SaaS) organizations</li></ul><p><br></p><p>Learn more: https://www.inductivehealth.com/</p><p><br></p><p><em>All qualified applicants will receive consideration for employment without regard to their race, color, religion, sex, sexual orientation, gender identity or expression, age, national origin, or disability.</em></p>
      ","
          64 applicants
        ","
        
          InductiveHealth Informatics, Inc.
        
      ","
            Entry level
          ","
          Full-time
        "
Software Developer Entry-Level Positions,"Atlanta, GA","
        <strong>We are looking for entry level , software developers to join our team! <br><br></strong><strong>Skills<br></strong><ul><li>Great communicator and documentation writer with technical / non-technical users and project owners</li><li>Adaptable to decisions made quickly by peers</li><li>Collaborative and a great team player</li><li>Punctual to deadlines set by project owners when it comes to tasks</li><li>Previous knowledge of programming languages like C# (preferred but not required)</li><li>Knowledge of SDLC is a plus (preferred but not required)</li><li>Ability to learn quickly and talk about solutions to project owners</li><li>Transparent on issues happening through the development process<br></li></ul><strong>Responsibilities<br></strong><ul><li>Design and develop software applications using .NET, C#, and different frameworks associated with programming languages (preferred but not required)</li><li>Participate in all phases of SDLC through application development</li><li>Read written requirements and develop a solution</li><li>Write queries to different databases so the application can manipulate the data accordingly</li><li>Support, maintain, document, and enhance software functionality that you or your team has written</li><li>Write unit tests and do functional testing on what you develop</li><li>Participate in peer to peer code reviews, project planning, and estimation of tasks</li><li>Train end users of application being developed</li><li>Write and implement efficient code based on requirements for tasks<br></li></ul>www.VectorNow.com to learn more about us!<br><br>Many different backgrounds are encouraged to apply from technical to non-technical backgrounds -or- if you are passionate about technology or software development. We also encourage those with a background in Business Administration, Healthcare, Engineering, Finance, IT, Telecommunications, Business Intelligence, Business Analytics, MIS Management of Information Systems, Computer Information Systems, Computer Science, and Computer Engineering to apply.<br><br><strong>Benefits<br></strong><ul><li>Competitive Pay</li><li>Vacation/Sick Time, Paid Time Off (PTO)</li><li>Medical/Dental/Vision/Life</li></ul>
      ","
          118 applicants
        ","
        
          Vector
        
      ","
            Entry level
          ","
          Full-time
        "
Software Engineer-Graduate,"Atlanta, GA","
        <strong>Job ID:</strong> 109866<br><strong>Required Travel</strong> : Minimal<br><strong> Managerial - No <br></strong><strong>Location:</strong> : USA- Atlanta Georgia (Customer Site)<br><br><strong><strong>Who are we?<br><br></strong></strong>If you’re a smartphone user then you are part of an ever more connected and digital world. At Amdocs, we are leading the digital revolution into the future. From virtualized telecommunications networks, Big Data and Internet of Things to mobile financial services, billing and operational support systems, we are continually evolving our business to help you become more connected. We make sure that when you watch a video on YouTube, message friends on Snapchat or send your images on Instagram, you get great service anytime, anywhere, and on any device. We are at the heart of the telecommunications industry working with giants such as AT&amp;T, Vodafone, Telstra and Telefonica, helping them create an amazing new world for you where technology is being used in amazing new ways every single day.<br><br><strong><strong>In one sentence<br><br></strong></strong>Responsible for design, development, modification, debug and/or maintenance of software systems<br><br><strong><strong>What will your job look like?<br></strong></strong><ul><li> You will design, develop, modify, debug and/or maintain software code according to functional, non-functional and technical design specifications.</li><li> You will follow Amdocs software engineering standards, applicable software development methodology and release processes, to ensure code is maintainable, scalable, and supportable, and demo the software products to stakeholders.</li><li> You will investigate issues by reviewing/debugging code, provide fixes and workarounds, and review changes for operability to maintain existing software solutions.</li><li> You will work within a team, collaborate and add value through participation in peer code reviews, provide comments and suggestions, and work with cross functional teams to achieve goals.</li><li> You will assume technical accountability for your specific work products within an application and provide technical support during solution design for new requirements.</li><li> You will be encouraged to actively look for innovation, continuous improvement, and efficiency in all assigned tasks.<br></li></ul><strong><strong>All you need is...<br></strong></strong><ul><li> Bachelor's degree in Science/IT/Computer Science or equivalent</li><li> 0-2 years Java experience (server side) on Linux/Unix/Windows. .NET or Pyton or C++ would also be desirable</li><li> Experience or knowledge with the Spring framework components - Spring Boot, MVC, Integration, Security, etc.</li><li> Understanding of RESTful APIs and open systems<br></li></ul><strong><u>Why You Will Love This Job<br></u></strong><ul><li> You will be challenged to design and develop new software applications.</li><li> You will have the opportunity to work in a growing organization, with ever growing opportunities for personal growth.<br></li></ul><u><strong> Amdocs is an equal opportunity employer. We welcome applicants from all backgrounds and are committed to fostering a diverse and inclusive workforce</strong></u>
      ","
          56 applicants
        ","
        
          Amdocs
        
      ","
            Entry level
          ","
          Full-time
        "
Software Engineer,"Atlanta, GA","
        <p><strong>Overview</strong></p><p>Mobilewalla is a global, fast-growing consumer data and technology company, headquartered in Atlanta, GA, USA. Our platform, developed by our internal technology team, is a go-to asset for enterprise data scientists and marketers who want to enrich their data. Our team solves complex problems such as semantic data compression, statistical modeling of anomalous mobile data, real time analytics and high throughput, low latency transaction systems. We are looking for a Software Engineer to join us and help continue to evolve the platform while working closely with your fellow engineers to develop large scale systems that process and act on massive amounts of data both in real time and offline. The ideal candidate is a hands-on platform builder with experience in developing scalable backend systems.</p><p><br></p><p><strong>Key Responsibilities</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Write clean, performant code to develop functional applications; build reusable code and libraries</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Deploy and take ownership of production environments</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Take ownership of client deliverables</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Contribute to architecture and implementation decisions</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Participate in the entire application lifecycle (defining requirements, designing, coding, debugging and production maintenance)</p><p>&nbsp;</p><p><strong>Experience</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Completed a Bachelors or Masters degree in Computer Science</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;3 years of experience developing complex applications with modern programming languages</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Problem solver who enjoys learning new languages and frameworks</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Collaborative and personable engineer who likes working with a team</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience in technical ownership of backend systems in a production environment</p><p><strong>&nbsp;</strong></p><p><strong>Preferred Qualifications</strong></p><p><strong>&nbsp;</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ability to work well with ambiguous/undefined problems; ability to think abstractly</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with AWS</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with distributed (multi-tiered) systems, relational databases and noSql storage solutions</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with at least one big data toolset such as Spark, Hive, Ping or Hadoop</p><p><strong>&nbsp;</strong></p><p><strong>Company Overview</strong></p><p><strong>﻿</strong></p><p>Mobilewalla is a global leader in consumer intelligence solutions, leveraging the industry’s most robust consumer data set and deep artificial intelligence expertise to better understand, model and predict consumer behavior.&nbsp;Our proprietary solutions provide businesses with rich insights helping them to more effectively attract and retain their best customers. We are a high growth stage company committed to driving innovation and being a market leader. Mobilewalla is also committed to attracting, retaining, and cultivating the next generation of technology talent. Mobilewalla was recently listed as #15 on Comparably's top 50 list of Best Company Culture for Small/Mid-Size companies.</p>
      ","
          59 applicants
        ","
        
          Mobilewalla
        
      ",N/A,"
          Full-time
        "
Software Developer (Junior),"Atlanta, GA","
        <p><strong>Overview</strong></p><p>Mobilewalla is a global, fast-growing consumer data and technology company, headquartered in Atlanta, GA, USA. Our platform, developed by our internal technology team, is a go-to asset for enterprise data scientists and marketers who want to enrich their data. Our team solves complex problems such as semantic data compression, statistical modeling of anomalous mobile data, real time analytics and high throughput, low latency transaction systems. We are looking for a Software Engineer to join us and help continue to evolve the platform while working closely with your fellow engineers to develop large scale systems that process and act on massive amounts of data both in real time and offline. The ideal candidate is a hands-on platform builder with experience in developing scalable backend systems.</p><p><br></p><p><strong>Key Responsibilities</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Write clean, performant code to develop functional applications; build reusable code and libraries</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Deploy and take ownership of production environments</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Take ownership of client deliverables</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Contribute to architecture and implementation decisions</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Participate in the entire application lifecycle (defining requirements, designing, coding, debugging and production maintenance)</p><p>&nbsp;</p><p><strong>Experience</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Completed a Bachelors or Masters degree in Computer Science</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;3 years of experience developing complex applications with modern programming languages</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Problem solver who enjoys learning new languages and frameworks</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Collaborative and personable engineer who likes working with a team</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience in technical ownership of backend systems in a production environment</p><p><strong>&nbsp;</strong></p><p><strong>Preferred Qualifications</strong></p><p><strong>&nbsp;</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Ability to work well with ambiguous/undefined problems; ability to think abstractly</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with AWS</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with distributed (multi-tiered) systems, relational databases and noSql storage solutions</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with at least one big data toolset such as Spark, Hive, Ping or Hadoop</p><p><strong>&nbsp;</strong></p><p><strong>Company Overview</strong></p><p><strong>﻿</strong></p><p>Mobilewalla is a global leader in consumer intelligence solutions, leveraging the industry’s most robust consumer data set and deep artificial intelligence expertise to better understand, model and predict consumer behavior.&nbsp;Our proprietary solutions provide businesses with rich insights helping them to more effectively attract and retain their best customers. We are a high growth stage company committed to driving innovation and being a market leader. Mobilewalla is also committed to attracting, retaining, and cultivating the next generation of technology talent. Mobilewalla was recently listed as #15 on Comparably's top 50 list of Best Company Culture for Small/Mid-Size companies.</p>
      ","
          59 applicants
        ","
        
          InductiveHealth Informatics
        
      ",N/A,"
          Full-time
        "
Junior Software Engineer,Atlanta Metropolitan Area,"
        <p>Job Title: Entry Level Software Engineer</p><p>Travel/Relocation: Must be open to both</p><p><br></p><p><strong>Working at Capgemini:</strong></p><p><br></p><p>Are you interested in working in a high-tech global consulting firm focused on digital transformations and tech solution implementations? We are looking for a goal oriented compassionate person who can work in a fast-paced environment. Due to our rapid growth we are looking to hire a motivated person who is excited to take the next steps with Capgemini.</p><p><br></p><p><strong>About Capgemini&nbsp;</strong></p><p><br></p><p>Capgemini is a global leader in consulting, digital transformation, technology and engineering services. The Group is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50-year+ heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. Today, it is a multicultural company of 270,000 team members in almost 50 countries. With Altran, the Group reported 2019 combined revenues of €17billion. Visit us at www.capgemini.com. People matter, results count.</p><p><br></p><p><strong>Job Description:&nbsp;</strong>&nbsp;</p><p>You will be working with Capgemini’s Banking and Insurance clients for developing, testing and maintaining business applications after initial 10- week training program. During the training program, you will be trained to enhance your relevant programming, delivery and consultative skills to be successful in your role. During your tenure, you’ll be working on our client projects in financial services industry on challenging projects that have the potential to change the way we trade. You’ll work closely with a mentor who will provide guidance, growth opportunities, and genuine feedback. We provide an ideal opportunity for bright engineering-savvy minds to put their talents to the test in real-world applications.</p><p><br></p><p><strong>Responsibilities:</strong></p><p>•	Programming using object-oriented programming languages</p><p>•	Documenting high level technical designs</p><p>•	Using Basic DB skills&nbsp;</p><p>•	Working with customers and on teams</p><p><br></p><p><strong>Requirements:</strong></p><p>•	Bachelor’s degree in Engineering, Computer Science, Information Systems, Data Science or related field</p><p>•	Good customer facing and business communication skills</p><p>•	Coursework in Object Oriented Programming and Programming Languages (such as Java, JavaScript), Database Management and Data Manipulation</p><p>•	Strong team player with organizational and interpersonal skills</p><p>•	Aptitude for analytical concepts and great attitude &amp; work ethic</p><p>•	Ability to work with leadership and clients&nbsp;</p><p>•	US Citizen or Permanent Resident&nbsp;</p><p><br></p><p><br></p><p><strong>What we offer:</strong></p><p>Your career matters to you and is important to us too. Because your goals and needs are constantly evolving, we offer visibility, leeway and support to help you grow and progress in your career. This approach builds notably on our comprehensive competency framework, our personal development, training and career management programs, and our University innovative and business-focused learning curriculums.&nbsp;</p><p>We promote a culture of diversity. We believe working with talented individuals from different backgrounds and points of view is a strategic advantage and an ongoing opportunity. Diversity enriches our creative solutions and adds value for our clients.&nbsp;</p><p>Our Shared values have been at the heart of the group since our formation. They are honesty, boldness, trust, freedom, team spirit, modesty and fun. These values influence the way we meet client needs while respecting the regulatory requirements of each country in which we operate, and the way we promote ethically sound practices within Capgemini and in our partnerships.&nbsp;</p><p>Capgemini is committed to building a workforce of employees with diverse backgrounds and work experiences. We strongly encourage women, veterans and active military service personnel to apply.&nbsp;</p><p><br></p><p><strong>Disclaimer</strong></p><p>Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.&nbsp;</p><p>This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.&nbsp;</p><p>Click the following link for more information on your rights as an Applicant - http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law&nbsp;</p><p>Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.&nbsp;</p><p></p>
      ","
          185 applicants
        ","
        
          Capgemini
        
      ","
            Entry level
          ","
          Full-time
        "
