job_title,location,job_desc,applicants,company,level,job_length
Software Engineer - Frontend (REMOTE),"Baltimore, MD","
        Under Armour has one mission: to make you better. We have a commitment to innovation that lies at the heart of everything we do, not just for our athletes but also for our teammates. As a global organization, our teams around the world push boundaries and think beyond what is expected. Together our teammates are unified by our values and are grounded in our vision to inspire you with performance solutions you never knew you needed but can’t imagine living without.<br><br><strong>Position Summary<br><br></strong><strong><em>This role has been categorized as a Remote position. “Remote” Employees must live in the United States.<br><br></em></strong>Under Armour is seeking a full stack Software Engineer to build fast, frictionless experiences across the globe as part of our growing Ecommerce Engineering team. The Software Engineer role will hold responsibility for front-end initiatives across primarily focused on delivering efficient content for our digital experiences. The ideal candidate has a passion for collaboration with cross functional partners, can adapt to technology change and evolution, and is eager to find creative solutions to technical issues.<br><br><strong>Essential<br><br></strong>Duties &amp; Responsibilities<br><ul><li>Execute full lifecycle software development</li><li>Build and maintain efficient UI applications and components to support backend services integration with a variety of third-party systems</li><li>Document and maintain software functionality</li><li>Validate and debug implementation</li><li>Communicate across various teams and vendors <br></li></ul><strong>Qualifications<br><br></strong>(Knowledge, Skills &amp; Abilities)<br><ul><li>Experience with modern web development - focus on frontend capabilities (Javascript, React, CSS, HTML)</li><li>Experience with Java 8+, Spring</li><li>Ideal candidate has exposure to Content Management Systems (ex: CoreMedia, Magnolia, Contentful, AEM)</li><li>Proficiency with source control including Git</li><li>Nice to have, but not required: knowledge of Salesforce Commerce Cloud (SFCC) or other commerce platforms, experience building a PWA<br></li></ul><strong><u>Education And / Or Experience<br></u></strong><ul><li>Bachelor’s Degree in Computer Science or 3+ years of hands-on experience in a development environment.</li><li>Strong desire to learn and is quick to pick up new concepts</li><li>Passion for development and ability to dig into solving problems<br></li></ul><strong>Relocation<br></strong><ul><li>Remote optional</li><li>Offices in Baltimore &amp; Austin for those who prefer to work on-site <br></li></ul><em><strong>At Under Armour, we are committed to providing an environment of mutual respect where equal employment opportunities are available to all applicants and teammates without regard to race, color, religion, sex, pregnancy (including childbirth, lactation and related medical conditions), national origin, age, physical and mental disability, marital status, sexual orientation, gender identity, gender expression, genetic information (including characteristics and testing), military and veteran status, and any other characteristic protected by applicable law. Under Armour believes that diversity and inclusion among our teammates is critical to our success as a global company, and we seek to recruit, develop and retain the most talented people from a diverse candidate pool.</strong></em>
      ","
          92 applicants
        ","
        
          Under Armour
        
      ","
            Entry level
          ","
          Full-time
        "
Jr. Software Engineer,"Fort George G. Meade, MD","
        <strong><u>Position</u></strong>: Jr. Software Engineer<br><br><strong><u>Location</u></strong>: Remote (ability to travel)<br><br><strong><u>Duration</u></strong>: Contract to hire<br><br><strong><u>Clearance</u></strong>: Candidates must be US citizens able to obtain and/or maintain a DoD Secret Security clearance as a condition of employment<br><br><strong><u>Summary<br><br></u></strong>The main function of a software developer is to develop and design web applications and software. Specifically, a Software Developer is required to perform Java Development in the Development of RESTful Web Services. Provides expertise and direction in the development and/or modification of computer-based scientific, technical, and business software systems.<br><br><strong><u>Job Responsibilities<br></u></strong><ul><li> Uses expertise to design develop, code, test, and debug software.</li><li> Works with users to define existing or new system scope and objectives.</li><li> Provides analytical support and technical advice during the conceptualization, development, and implementation phases.</li><li> Reviews and evaluates systems and software for adherence to government or commercial directives, standards, guidelines, and criteria concerning software safety and systems safety.</li><li> Confirms design mitigations are captured in the design and its documentation and verifies implementation.</li><li> May perform as a project lead with the responsibility for the instruction, assigning, direction, and monitoring of the performance of assigned systems developers / analyst working on a specific project.</li><li> Basic design, build or maintenance of software, using authoring or scripting languages, content creation tools, management tools and digital media.</li><li> Identify problems uncovered by testing or customer feedback and correct problems.</li><li> Evaluate code to ensure it is valid, meets industry standards and is compatible with devices or operation systems.<br></li></ul><strong><u>Skills<br><br></u></strong>Java Development<br><ul><li> Development of RESTful Web Services</li><li> Experience in authoring and managing service contracts</li><li> Networking experience to troubleshoot and isolate REST Messaging issues</li><li> Experience building SQL statement for Creating, Updating, Reading, and Deleting Relational database records</li><li> Experience in leveraging automated tools to test RESTful services</li><li> Experience in using Java frameworks such as Spring and Hibernate</li><li> Experience with leveraging AWS services: KMS, S3, EBS, Elastic File System, SQS, SNS</li><li> AWS Lambda function experience is a plus!<br></li></ul><strong><u>Education/Experience<br></u></strong><ul><li> Bachelor's degree in computer science or equivalent training required.</li><li> A minimum of 2 years’ experience required.<br></li></ul>EEO Employer<br><br>Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystemsinc.com or 844-463-6178.
      ","
            Be among the first 25 applicants
          ","
        
          Apex Systems
        
      ","
            Entry level
          ","
          Full-time
        "
Programmer,"Hunt Valley, MD","
        <p>We are seeking a Programmer/Developer with experience in visual studio, Visual C# and SQL.&nbsp;&nbsp;Ideal candidate will have experience integrating systems and automating data processing using both API’s and Microsoft Office products.&nbsp;</p><p>&nbsp;</p><p><strong>Responsibilities</strong></p><ul><li>Using .NET Framework, ASP.NET, and C# to develop and enhance CRM application, Internet facing websites, and automating business processes.</li><li>Utilization of API’s to integrate and automate accounting and business intelligence systems.</li><li>Synchronization for data between different databases</li><li>Using Microsoft SQL Server relational databases</li><li>Migrating legacy systems to .Net</li><li>Troubleshooting and debugging applications written in C# and ASP.NET.</li><li>Fixing production application issues</li><li>Other miscellaneous &nbsp;projects, as assigned</li></ul><p><br></p><p><strong>Qualifications</strong></p><ul><li>Ability to thrive in a fast-paced, rapid growth environment is required.</li><li>Ability to solve problems and learn business rules and processes.</li><li>Ability to demonstrate strategic, data-driven thinking combined with efficient implementation.</li><li>Ability work on a team</li><li>A hands-on, self-starter with a positive attitude and strong work ethic.</li><li>Superior communication (written and verbal) </li><li>Experience with Real Estate or accounting a plus.</li></ul><p><br></p><p><strong>Technical Skills:</strong></p><ul><li>Microsoft SQL Server, Microsoft Excel, Visual Studio,</li><li>Languages T-SQL, C#, ASP.Net, PHP, XML, SOAP, HTML, XHTML, Ajax, JavaScript, CSS</li><li>Optional.&nbsp;MRI Software, Delphi, ILE RPG, linux, perl., IIS&nbsp;</li></ul><p><br></p><p><strong><u>Experience:</u></strong></p><ul><li>Programmer: 2 year minimum</li></ul><p><br></p><p><strong><u>Compensation/Benefits:</u></strong></p><ul><li>Generous salary</li><li>Excellent health benefits, 401k with company match</li></ul><p><br></p><p><br></p>
      ","
            Be among the first 25 applicants
          ","
        
          Hill Management Services, Inc.
        
      ",N/A,"
          Full-time
        "
Backend Software Developer,"Baltimore County, MD","
        It takes powerful technology to connect our brands and partners with an audience of 1 billion. Nearly half of Verizon Media employees are building the code and platforms that help us achieve that. Whether you’re looking to write mobile app code, engineer the servers behind our massive ad tech stacks, or develop algorithms to help us process 4 trillion data points a day, what you do here will have a huge impact on our business—and the world. Want in? As Verizon’s media unit, our brands like Yahoo, TechCrunch and more help people stay informed and entertained, communicate and transact, while creating new ways for advertisers and partners to connect. With technologies like XR, AI, machine-learning, and 5G, we’re transforming media for tomorrow, too. We're creators and coders, dreamers and doers creating what's next in content, advertising and technology.<br><br><strong><u>About Our Team<br><br></u></strong>The Verizon Media DSP (demand side platform) is a core source of revenue for Verizon Media’s ad business, and is the tool that advertisers (and representatives for advertisers) use to create and target campaigns to certain demographics and websites. We then help traffic those campaigns based on what the advertiser specifies and what websites request advertisements to monetize their content, and report on campaign performance back to the user. We are competing in market with players like Google (DBM) and Facebook. We have an aggressive roadmap and are planning to release many innovative features which would require more API developers.<br><br>The team values collaboration, communication, passion, and transparency. We work to allow engineers of any level to make deep, meaningful impact to the product, as well as the business. Our contributions directly impact Verizon Media's bottom line -- we enable the monetization of publisher content across the web and mobile, and facilitate brand awareness and exposure. Our technology scales to over 6 billion requests on a daily basis, runs real-time auctions in milliseconds, and serves millions of ads a day.<br><br><strong><u>What We’re Looking For<br><br></u></strong>Our team is responsible for the API, meaning that most of our work sits in the mid-tier, but we encourage engineers to work across the stack as their interests may lead. If you have a passion for developing scalable, distributed software systems that require high availability to support mission-critical business tasks, we’d love to talk to you!<br><br><u><strong>You are an ideal candidate for our team if you value:<br></strong></u><ul><li>Collaboration and consensus-building as patterns for problem-solving</li><li>Transparency in the face of ambiguous or difficult situations</li><li>“Getting stuff done” through simple, pragmatic iteration and an unwavering focus on product needs</li><li>Demonstrating a high level of curiosity and keeping abreast of the latest technologies</li><li>Taking a proactive nature to resolve problems</li><li>Challenging the status quo, when it makes sense to do so<br></li></ul><strong><u>In a Typical Day, You May Find Yourself<br></u></strong><ul><li>Designing and developing back-end services that are validated by strong unit tests, continuous integration testing, and regression tests.</li><li>Collaborating with peers and leads both within the team and across the organization.</li><li>Working with scrum teams and product managers using agile methodologies to deliver high quality solutions on time.</li><li>Iterating quickly to build features and systems designed to compete with a growing market of competitive ad technology companies.</li><li>Contributing new concepts, techniques, designs and implementations that allow us to offer new and unique features to our clients.</li><li>Mentoring other developers, and working with more senior developers to grow your skill-set.</li><li>Working with the operations team to collect and analyze system performance and metrics and tune application performance to meet aggressive SLAs.<br></li></ul><strong>Requirements<br><br></strong>include the typical problem-solving and algorithmic experience that one expects in any software engineering role, as well as experience in Java; experience in Javascript, C, Hadoop, Druid, and other big data technologies nice-to-have but not required. We do not have degree or time-in-role requirements; rather, we are looking for people who are able to quickly onboard with a supportive engineering team and will be highly motivated to help us execute against aggressive (but not unreasonable) deadlines.<br><br>Verizon Media is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Verizon Media is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. If you need accessibility assistance and/or a reasonable accommodation due to a disability, please submit a request via the Accommodation Request Form ( https://www.verizonmedia.com/careers/contact-us.html ) or call 408-336-1409. Requests and calls received for non-disability related issues, such as following up on an application, will not receive a response.<br><br>At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion ( https://www.verizon.com/about/careers/work-culture ) page to learn more.<br><br><em>Currently work for Verizon Media? Please apply on our internal career site.</em>
      ","
          36 applicants
        ","
        
          Verizon Media
        
      ","
            Entry level
          ","
          Full-time
        "
Programmer,"Baltimore, MD","
        Shall possess three years of experience as a software developer programmer. Shall possess experience in implementing software engineering best practices throughout the full software development life cycle, including requirements analysis, planning, design, development, testing and deployment. The individual shall have demonstrated work experience with the following PHP, JavaScript, HTML, CSS, and Object Oriented Programming. Shall possess experience with recognized PHP web application frameworks like Laravel and Lumen. Shall possess experience with recognized JavaScript frameworks like Vue.js and node.js. Shall possess experience working with single page applications. EXPERIENCE AND SKILLS Experience working with Oracle database, Git version control and AWS cloud services is desirable. Experience with or training in recognized IT Service Management systems such as ServiceNow is also desirable.
      ","
            Be among the first 25 applicants
          ","
        
          Lumaxia Consulting, LLC
        
      ","
            Entry level
          ","
          Contract
        "
Software Engineer - Web Application,"Hanover, MD","
        Founded in 2009, RSC2, Inc. is a Small Business Administration (SBA) Professional Services company headquartered in Baltimore, Maryland. RSC2 is a Certified HUBZone organization that provides breakthrough expertise, support services, and technologies to make operations, programs and systems of record perform better. Our professional staff is trained to provide world-class services to all types of customers. We uphold the integrity and quality of our work so you can expect only the best from us.We are looking for a Software Engineer – Web Application to join our growing company! This role will support our customer.Duties and Responsibilities:Reviews and assesses developmental contractor software code to ensure compliance with government-provided coding and cybersecurity standards.Act as a supporting quality assurance oversight developer to build mobile-first web application, API delivery and limited system administration.Oversee developed re-useable code and assets based on industry-standard solutions, reference architectures, design, development, and QA best practices.Requirements:Must have an Active TS/SCI Clearance.Experience with software development &amp; management of development teams.Experience with Agile methodologies, DevOps tools, version control systems.Experience with Unix-based (Linux and Android) and Windows operating systems.Familiarity with Application Programming Interfaces and Microsoft Visual Studio.Experience with Powershell Installation scripting, HTML, JavaScript development.Experience working with web services.Bachelor’s degree in Engineering or Information Technology related field of study (equivalent experience may be considered).Work Location: On-site at Hanover, MarylandEmployment Type: Full-Time, Salary-ExemptBenefits Package: We offer a top tier benefits package which includes medical, dental, vision, PTO, employer matching retirement plan, and more! We are an equal opportunity employer. We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other protected characteristic. The EEO is the Law poster is available here.
      ","
            Be among the first 25 applicants
          ","
        
          RSC2 Inc.
        
      ","
            Entry level
          ","
          Full-time
        "
SOFTWARE ENGINEER - Remote Opportunity,"Baltimore, MD","
        <strong>At Pitney Bowes, we do the right thing, the right way.<br><br></strong><strong>As a </strong><strong>Software Engineer</strong><strong> for Pitney Bowes, you can too.<br><br></strong><strong>We have amazing people who are the driving force, the inspiration and foundation of our company. Our thriving culture can be broken down into four components: <strong>Client. Team. Win. Innovate.<br><br></strong></strong><strong><u>We Actively Look For Prospects Who<br></u></strong><ul> <li><strong>Are passionate about client success.</strong></li> <li><strong>Enjoy collaborating with others.</strong></li> <li><strong>Strive to exceed expectations.</strong></li> <li><strong>Move boldly in the quest for superior and best in market solutions.<br><br></strong></li></ul><strong><u>You Are<br><br></u></strong><strong>A </strong> <strong>Self-motivated</strong> <strong>Contributor</strong><strong> who can </strong><strong>be part of a team that designs and develops cloud-based microservices that are consumed by customer facing applications. Also, collaborating across the organization with architects, UX experts, software engineers and product managers to deliver cloud solutions. </strong><strong>You are a </strong><strong>Performance-driven</strong> <strong>individual</strong><strong> who </strong><strong>wants a role that contributes to the success of all applications a business delivers to their customers, then this role is for you!<br><br></strong><strong><u>You Will<br></u></strong><ul> <li><strong>Full Stack development</strong></li> <li><strong>Designing and solving complex software engineering solutions</strong></li> <li><strong>Work with cross-functional teams to design and develop innovative solutions that meets the needs of our customers</strong></li> <li><strong>Evaluate and incorporate new technologies into new and existing frameworks as applicable</strong></li> <li><strong>Collaborate with and mentor members of the team and other coworkers.</strong></li> <li><strong>Be agile, embrace change and should be able to work independently.<br><br></strong></li></ul><strong><u>Your Background<br><br></u></strong><strong><strong>Qualifications - External<br><br></strong></strong><strong> <br><br></strong><strong><u>As a Software Engineer You Have<br><br></u></strong><strong> <br></strong><ul> <li><strong><strong>B.S. in Computer Science, Engineering or related discipline</strong></strong></li> <li><strong><strong>At least 4 years of experience in designing and developing large scale, mission critical and high available/scalable solutions</strong></strong></li> <li><strong><strong>Strong In<br></strong></strong><ul> <li><strong><strong>Angular and Node.js</strong></strong></li> <li><strong><strong>CI/CD toolset: GitLab CI/CD, Jenkins, Ansible</strong></strong></li> </ul> </li> <li><strong><strong>Proficient In<br></strong></strong><ul> <li><strong><strong>Microservices Development</strong></strong></li> <li><strong><strong>Scripting: Python or JavaScript</strong></strong></li> <li><strong><strong>Core Java, Spring MVC, Spring Boot and Hibernate</strong></strong></li> <li><strong><strong>Databases and web storage</strong></strong></li> <li><strong><strong>AWS ecosystem, Docker, K8S</strong></strong></li> </ul> <br></li></ul><strong> <br><br></strong><strong> <br><br></strong><strong><u>Preferred<br></u></strong><ul> <li><strong><strong>Agile Methodology Experience</strong></strong></li> <li><strong><strong>Excellent interpersonal skills and the ability to work with diverse and distributed product teams</strong></strong></li> <li><strong><strong>Experience programming in Go</strong></strong></li> <li><strong><strong>Experience with Cloud Native Technologies<br></strong></strong></li></ul><strong> <br><br></strong><strong> <br><br></strong><strong><u>We Will<br></u></strong><ul> <li><strong><strong>Provide the opportunity to grow and develop your career</strong></strong></li> <li><strong><strong>Offer an inclusive environment that encourages diverse perspectives and ideas</strong></strong></li> <li><strong><strong>Deliver challenging and unique opportunities to contribute to the success of a transforming organization</strong></strong></li> <li><strong><strong>Offer comprehensive benefits globally (pbprojectliving.com)<br></strong></strong></li></ul><strong> <br><br></strong><strong><u>Our Team<br><br></u></strong><strong><strong>Our Software team powers global commerce, processing billions of transactions every year. Our Software technology and solutions help businesses operate faster and more efficiently. How? By identifying trusted data and insights to create targeted, effective messaging, by providing accurate geographic data to make smarter business decisions, and by delivering relevant and engaging<br><br></strong></strong><strong> <br><br></strong><strong><strong>Pitney Bowes is an Equal Employment Opportunity/Affirmative Action Employer that values diversity and inclusiveness in the workplace.<br><br></strong></strong><strong> <br><br></strong><strong><strong><strong>Women/Men/Veterans/Individuals with Disabilities/LGBTQ are encouraged to apply.<br><br></strong></strong></strong><strong> <br><br></strong><strong><strong>All interested individuals must apply online. Individuals with disabilities who cannot apply via our online application should refer to the alternate application options via our Individuals with Disabilities link. </strong></strong>
      ","
            Be among the first 25 applicants
          ","
        
          Pitney Bowes
        
      ","
            Entry level
          ","
          Full-time
        "
Entry Level Software Programmer,"Baltimore, MD","
        <strong><u>About Us<br><br></u></strong>We are an IT staffing/placement and software development firm, specialized in Java/J2ee / Mean stack/ full stack/Data science and cloud computing domain &amp; providing technically skilled and competent candidates to clients in Northern America and Canada since 2010. From staffing to full implementation of projects we provide the highest quality IT Services.<br><br><strong>Requirements<br></strong><ul><li>BS/MS/AS in CS/IT/CE</li><li>Good understanding of OOP's concepts</li><li>Exposure to basic coding languages Java, HTML5</li><li>Positive attitude with the passion of learning<br></li></ul><strong><strong>Why should apply?<br></strong></strong><ul><li>Faster growth in career by working with fortune 500 clients.</li><li>Looking to enhance technical skills to compete effectively in the job market.</li><li>Having a good GPA in BS/MS but not getting interview calls.</li><li>Your skills are not letting you compete effectively with others.</li><li>You want to start your career with a reputed organization like Google, Apple, eBay, Wal-Mart Labs, PayPal, Western Union, Cisco Systems, etc. (Our Candidates work with these organizations)<br></li></ul><strong><strong>Regards,<br><br></strong>Masoom Rajput<br><br>Sr. Talent Acquisition Specialist<br><br>Website </strong><strong><u>https://www.synergisticit.com<br><br></u></strong><strong>Phone (510) 347-8120<br><br>Email masoom@syergisticit.com<br><br>39141 Civic Centre Dr, Fremont, CA<br><br>94539, United States</strong>
      ","
            Be among the first 25 applicants
          ","
        
          SynergisticIT
        
      ","
            Entry level
          ","
          Contract
        "
Software Engineer,"Lutherville, MD","
        SharpRank is looking for a well-rounded Software Engineer to join our growing Engineering team and build out the next generation of our platform. The ideal candidate is a hands-on platform builder with significant experience in developing scalable data platforms. We are looking for someone with experience in API design, data visualization, business intelligence, and analytics. They must have strong, firsthand technical skills in a variety of object oriented and front-end technologies and the proven ability to fashion robust scalable solutions that can manage large data sets. They must be at ease working in an agile environment with little supervision. This person should embody a passion for continuous improvement, delivering a quality, robust product, and, most of all, sports! The qualified candidate will apply lessons learned in his/her previous experience designing and developing software applications and pull it all together to take on a foundational and eventual leadership role in a startup company with a bright future. He/She will work directly with the leadership team to gather requirements, create database schemas, write business logic, and develop an application from conception to delivery. The key to success for the qualified candidate is an open channel of communication between the candidate and the leadership team. Have a question or an idea for improvement? We're all ears. Responsibilities Design and develop API endpoints to expose pieces of the SharpRank dataset to be used in SharpRank applications as well as client applications Work directly with the leadership team to gather requirements Provide ongoing maintenance, support, and enhancements to existing products Work alongside other engineers to elevate technology and consistently apply best practices Requirements/Skills 3+ years experience with object oriented back end web technologies (.NET Core, Java, etc.) 3+ years experience with relational databases; MSSQL preferred 3+ years experience developing RESTful APIs 3+ years experience with the full software development lifecycle 3+ years experience with Microsoft Azure or Amazon Web Services 1+ years experience with serverless microservice architecture 1+ years in an agile development environment Experience with a front end JavaScript framework like Vue.js, React, and Angular is a plus Displays excellent communication skills Working knowledge of a source control system - git, Mercurial, TFS, etc. Any experience with the following technologies is considered a plus: web scrapers; a mobile development framework like Flutter, React Native, Xamarin; Continuous integration/delivery; hosting/infrastructure in Microsoft Azure Employment Type: Full Time Years Experience: 3 - 5 years Salary: $90,000 - $110,000 Annual Bonus/Commission: No
      ","
            Be among the first 25 applicants
          ","
        
          SharpRank
        
      ","
            Entry level
          ","
          Full-time
        "
Junior Software Engineer,"Columbia, MD","
        <strong>Secure our Nation, Ignite your Future<br><br></strong>Become an integral part of a diverse team while working at an Industry Leading Organization, where our employees come first. At ManTech International Corporation, you’ll help protect our national security while working on innovative projects that offer opportunities for advancement.<br><br>Currently, ManTech is seeking a motivated, career and customer-oriented Junior level Software Engineer to join our team in the Columbia, MD area.<br><br><strong>Responsibilities Include<br><br></strong>, But Are Not Limited To<br><ul><li>Provide training, support and briefings to analyst users</li><li>Work with mission lead to identify capability gaps</li><li>Work with development team, system engineers and product manager to define requirements and ensure functionality<br></li></ul><strong><u>Basic Qualifications<br></u></strong><ul><li>At least six (6) months experience in software engineering/development and/or systems engineering/analysis</li><li>Must possess experience in requirements analysis, design, software development, test and integration and/or systems integration, evaluation, optimization, and maintenance (to include problem diagnosis and resolution)<br></li></ul><strong>Preferred Qualifications<br></strong><ul><li>A Bachelor’s Degree is desired</li><li>Experience with developing applications software for small to highly complex computer systems or portions of large integrated systems and/or for providing analysis and engineering of functional aspects of software and hardware architecture and system support</li><li>Experience with preparing detailed specifications from which software products have been designed and/or translated documented designs into software products by developing, documenting, testing and debugging code</li><li>Experience with completion of a phase of a project</li><li>Experience with utility programs, job control language, macro, subroutines<br></li></ul><strong><u>Security Clearance Requirements<br></u></strong><ul><li>Active/Current Top Secret SCI with Poly<br></li></ul>Physical Requirements: Sedentary Work<br><br>For all positions requiring access to technology/software source code that is subject to export control laws, employment with the company is contingent on either verifying U.S.-person status or obtaining any necessary license. The applicant will be required to answer certain questions for export control purposes, and that information will be reviewed by compliance personnel to ensure compliance with federal law. ManTech may choose not to apply for a license for such individuals whose access to export-controlled technology or software source code may require authorization and may decline to proceed with an applicant on that basis alone.<br><br>ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.<br><br>If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.<br><br>If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.
      ","
            Be among the first 25 applicants
          ","
        
          ManTech
        
      ","
            Entry level
          ","
          Full-time
        "
