job_title,location,job_desc,applicants,company,level,job_length
Software Engineer,"Houston, TX","
        <ul><li>Develop the full-stack framework for a data analysis service for research collaborations. </li><li>Cloud deployment of containerized services </li><li>Use latest SPA framework to support intuitive interaction </li><li>Develop back-end infrastructure to support APIs for front-end UIs, client-facing software, and external database and computing resources.&nbsp; </li><li>system design, development, and testing&nbsp; </li><li>develop and integrate open-source software to power for science labs </li><li>working on a team of neuroscientists and data scientists on latest copmutational workflows, analysis and visualization for scientific data</li></ul>
      ","
            Be among the first 25 applicants
          ","
        
          DataJoint
        
      ",N/A,"
          Full-time
        "
Junior Software Engineer,"Houston, TX","
        <strong>Job Description<br><br></strong>HIDIVE, LLC operates the HIDIVE branded entertainment streaming service available via web browser, mobile devices and gaming platforms, offering a vast array of Japanese pop-culture programming spanning six decades,<br><br>from the latest anime simulcasts direct from Japan together with exclusive DUBCAST editions, to classic series and kaiju films of yesteryear. HIDIVE’s parent, Sentai Holdings LLC, is a Cool Japan Fund portfolio company.<br><br>The Junior Software Engineer will work with the software engineering team to design, develop, deploy, manage and maintain the software and applications behind the streaming service.<br><br><strong><u>Job Responsibilities<br><br></u></strong>Develop software solutions by studying information needs, conferring with users, studying systems flow, data usage, and work processes; investigating problem areas; and following the software development lifecycle.<br><br>Document and demonstrate solutions by developing documentation, flowcharts, layouts, diagrams, charts, comments, and clean clear code.<br><br>Determine operational feasibility of proposed solutions by evaluating cost/benefit analysis.<br><br>Prepare and deploy solutions.<br><br>Improve operations by conducting systems analysis and recommending changes in policies and procedures.<br><br>Continue education by studying state-of-the-art development tools, programming techniques and technologies, and by participating in educational opportunities, reading professional publications, maintaining personal networks, and participating in professional organizations.<br><br>Protect operations by keeping information secure and confidential.<br><br>Provide information by collecting, analyzing, and summarizing development and service issues.<br><br>Accomplish engineering and organization mission by successfully completing projects in a timely manner.<br><br><strong><u>Work Hours &amp; Benefits<br><br></u></strong>Full-time, Salary<br><br>Medical, Dental, Vision and Life Insurance<br><br>Paid Time Off and Holidays<br><br>Work-from-home required until further notice<br><br>Company provided equipment<br><br>Flexible business hours, Monday-Friday, 7am-6pm CST<br><br>Participate in the on-call rotation with the software engineering team<br><br><strong>Qualifications<br><br></strong>/Skills<br><br>Advanced programming skills<br><br>Software development lifecycle - planning, analysis, design, implementation, testing &amp; integration, maintenance AND documentation<br><br>Excellent verbal and written communication skills<br><br>Teamwork/Leadership - coaching and mentoring<br><br><strong><u>Education And Experience Requirements<br><br></u></strong>B.A. or B.S. in computer science, information technology, or related discipline<br><br>Two years of job related experience<br><br>Two years of experience as software engineer<br><br><strong>Experience<br><br></strong>with various computer programming languages, technologies and frameworks - C#, Javascript, AJAX, ReactJS, ReactNative, AWS Lambda, NodeJS, HTTP, REST, API, SQL<br><br><strong>Experience<br><br></strong>with Visual Studio, Git, and deploying applications on AWS<br><br><strong><u>Bonus<br><br></u></strong><strong>Experience<br><br></strong>with Azure DevOps<br><br><strong>Experience<br><br></strong>with AWS infrastructure (VPC, EC2, Security Groups, IAM, CodePipeline, CloudFront, S3, CloudWatch)<br><br>rev 6/2021<br><br>Aesir Media Group (AMG) is a fun, hard-working, fast-paced entertainment staffing and management company part of the Sentai Holdings group that includes Sentai Filmworks, Sentai Studios, HIDIVE and Anime Network. We are a Cool Japan Fund portfolio company. Headquartered in Houston, Texas, we license, localize and distribute entertainment content including motion pictures and television programming.
      ","
          161 applicants
        ","
        
          HIDIVE
        
      ","
            Entry level
          ","
          Full-time
        "
Software Engineer,"Houston, TX","
        <p><strong>Software Enginner(Mid Level)</strong></p><p><strong>Long Term Ongoing Contract (Possibilty of conversion)</strong></p><p><strong>Houston, TX 77047</strong></p><p><strong>One of the largest retailers in Houston is looking for a Software Engineer&nbsp;</strong>to join their complex Software Engineering group. This team serves provides is an innovative group that incubates and develops new function for the business – they oversee all products on this retailer’s website, site reliability and function. They need someone with a Full Stack experience developing Microservices REST APIs, and other database-driven web applications.</p><p>This e-commerce retailer focuses on home furnishings in a very niche space, and they are the largest provider in the world.&nbsp;The culture is unmatched – please see below on further requirements and apply if interested in learning more!</p><p>&nbsp;</p><p><strong>Essential Duties and Responsibilities&nbsp;</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Take business requirements and develop the total technical design for assigned mid-sized projects.</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Apply working knowledge of Databases in order to ensure proper usage as part of the design efforts in building a system to be put into production.</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Follow the established processes, policies, standards and procedures to assure compliance with corporate and regulatory policies and standards.</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Conduct appropriate test reviews on assigned projects as necessary. Present findings and offer solutions to management.</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Participate in daily stand-up, bi-weekly iteration planning and other as-needed face-to-face, audio- and/or video-teleconferencing sessions.</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Write clean code with good nomenclature, sensible unit, integration, and acceptance tests, and comments when necessary.</p><p><strong>Requirements:</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience developing Microservices, REST APIs, and other database-driven web applications using C# and .NET technologies</p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience using one major front end framework&nbsp;and modern Javascript (React, Angular-recent, vue),<strong>preferably React/Redux</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Familiarity with build and deploy pipelines</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Experience developing Microservices, REST APIs, and other database-driven web applications using C# and .NET technologies</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Familiarity with web security methodologies</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Experience working with ORMs and Relational Databases like SQL Server.</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Familiarity with NoSQL databases</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<strong>Proficient with distributed version control systems like Git</strong></p><p>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Agile environment experience</p><p>&nbsp;</p><p><strong>Additional Requirements (Nice to Haves):</strong></p><p><strong>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with Public Facing High Traffic Web Applications</strong></p><p><strong>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with distributed event system architecture</strong></p><p><strong>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience in front end bundling/packaging tools</strong></p><p><strong>·&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Experience with containerizing existing applications</strong></p><p></p>
      ","
            Be among the first 25 applicants
          ","
        
          Brooksource
        
      ","
            Mid-Senior level
          ","
          Contract
        "
Entry Level Software Programmer,"Houston, TX","
        <strong><u>About Us<br><br></u></strong><strong>Synergistic</strong><strong>IT</strong>wants every candidate to know we are always here to support your efforts. Indeed engagement is a priority for all<strong>Synergistic</strong><strong>IT</strong>Employees. No matter what issue you are facing, either it's a job search or upskilling your portfolio, assistance in cracking interviews or anything, you can always count on a member of Synergistic IT to be there for you.<br><br>We at Synergistic IT understand the problem and that's why for the past 10 years we have helped thousands of candidates get jobs at technology clients like <strong>Apple, Google, Paypal, Western Union,</strong> <strong>Client</strong>, etc to name a few.<br><br>We have an excellent reputation with the clients. Currently, We are looking for entry-level software programmers, IT enthusiasts, Python/Java developers, Data analysts/ Data Scientists.<br><br><strong>Who Should Apply<strong>?<br><br></strong></strong>Recent IT Graduates looking to make their careers in IT Industry Candidates having basic knowledge or with one or two years of experience in JAVA, C++, Core JAVA.<br><br>Candidates looking to upskill/enhance their IT skills.<br><br>Candidates who are serious about their future in the IT Industry and have set big goals for themselves.<br><br>Candidates having difficulty in finding jobs or cracking interviews or who wants to improve their skill portfolio.<br><br><strong>Required Skills<br></strong><ul><li>Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT</li><li>Highly motivated, self-learner, and technically inquisitive</li><li>Experience in programming language Java and understanding of the software development life cycle</li><li>Knowledge of Core Java</li><li>Excellent written and verbal communication skills </li></ul> Preferred skills: Spring Boot, Microservices, Rest webservices<br><br>No third party candidates or c2c candidates<br><br>To apply for this position, please apply to the posting<br><br>No phone calls please . Shortlisted candidates would be reached out<br><br><strong>Regards,<br><br>Rohit Yadav<br><br>Sr. Talent Acquisition Specialist<br><br>Phone 510-989-4983<br><br>Email: rohit@synergisticit.com<br><br>Website: https://www.synergisticit.com<br><br>39141 Civic Centre Dr, Fremont, CA<br><br>94539, United States.</strong>
      ","
            Be among the first 25 applicants
          ","
        
          SynergisticIT
        
      ","
            Entry level
          ","
          Contract
        "
Entry Level Software Developer,"Houston, TX","
        <strong><u>About Us<br><br></u></strong><strong>Synergistic</strong><strong>IT</strong>wants every candidate to know we are always here to support your efforts. Indeed engagement is a priority for all<strong>Synergistic</strong><strong>IT</strong>Employees. No matter what issue you are facing, either it's a job search or upskilling your portfolio, assistance in cracking interviews or anything, you can always count on a member of Synergistic IT to be there for you.<br><br>We at Synergistic IT understand the problem and that's why for the past 10 years we have helped thousands of candidates get jobs at technology clients like <strong>Apple, Google, Paypal, Western Union,</strong> <strong>Client</strong>, etc to name a few.<br><br>We have an excellent reputation with the clients. Currently, We are looking for entry-level software programmers, IT enthusiasts, Python/Java developers, Data analysts/ Data Scientists.<br><br><strong>Who Should Apply<strong>?<br><br></strong></strong>Recent IT Graduates looking to make their careers in IT Industry Candidates having basic knowledge or with one or two years of experience in JAVA, C++, Core JAVA.<br><br>Candidates looking to upskill/enhance their IT skills.<br><br>Candidates who are serious about their future in the IT Industry and have set big goals for themselves.<br><br>Candidates having difficulty in finding jobs or cracking interviews or who wants to improve their skill portfolio.<br><br><strong>Required Skills<br></strong><ul><li>Bachelors degree or Masters degree in Computer Science, Computer Engineering, Electrical Engineering, Information Systems, IT</li><li>Highly motivated, self-learner, and technically inquisitive</li><li>Experience in programming language Java and understanding of the software development life cycle</li><li>Knowledge of Core Java</li><li>Excellent written and verbal communication skills </li></ul> Preferred skills: Spring Boot, Microservices, Rest webservices<br><br>No third party candidates or c2c candidates<br><br>To apply for this position, please apply to the posting<br><br>No phone calls please . Shortlisted candidates would be reached out<br><br><strong>Regards,<br><br>Rohit Yadav<br><br>Sr. Talent Acquisition Specialist<br><br>Phone 510-989-4983<br><br>Email: rohit@synergisticit.com<br><br>Website: https://www.synergisticit.com<br><br>39141 Civic Centre Dr, Fremont, CA<br><br>94539, United States.</strong>
      ","
          25 applicants
        ","
        
          SynergisticIT
        
      ","
            Entry level
          ","
          Contract
        "
Entry Level Back End Developer,"Houston, TX","
        SunIRef:Event137 Targeted Start Date: ASAP Location: on site in Houston, Texas (this is not a remote position) Immediate Supervisor: CTO ???????Company Background PCS Software, Inc. is an AI platform for the transportation logistics marketspace providing the trucking industry's most effective transportation management platform (TMP) to improve fleet management and delivery systems and increase profits for our customers. Through innovation and invention, our software individualizes work routines, consolidates workflows, and streamlines management controls to improve accountability, transparency, and eliminate costly and redundant manual processes. Trucking companies and freight brokers trust PCS to optimize their dispatch, accounting, and fleet operations. TL, LTL, Intermodal, and freight brokerage services use our TMP to automate operations, easily access information, and reduce inefficiencies to maximize sales and revenue. Founded in 1997 and located in Houston, Texas, PCS Software is the leading developer of hosted software solutions designed specifically for the ground transportation industry. Job Description: Entry Level Backend Developer PCS is looking for recent college graduates to join our team. As an entry-level backend developer you will be responsible for developing software features that drive backend processing within PCS Software's AI Transportation Management Platform. You will have the opportunity to contribute key programming deliverables as you gain experience in backend services such as database access, REST API's to support user interface actions, and various system maintenance services. Role and Responsibilities Contribute towards development and design to our Transportation Management Platform and its features in a SAFe Agile environment. Experience developing new enhancements to help solve our client's problems and meet their expectations. Hands-on work with product owners and clients to create the best possible software experience. Collaborate with team members on architectural designs and code reviews. You should take organized ownership of your own work. WHAT WE VALUE Our guiding principle at PCS Software is customer service. We believe that we are a customer service company that happens to make the best software in our industry. If you are driven to delight customers and treat every fellow employee with that same level of excellence and care, then we want to talk to you! At PCS Software, we value our amazing culture over any skill that someone can offer. This is an amazing place to work and we work hard to offer our team members a creative, fun, educational, and challenging work environment every day and we constantly focus on not only the customer's journey and experience with PCS Software, but our individual journey as employees and the overall team experience as well. Why Join PCS? PCS Software, Inc. rewards your hard work with amazing opportunities for career growth and personal development. If you want to be the newest member of a vibrant group of energized technology leaders in an innovative and entrepreneurial environment, then apply online today to start building solutions that customers will love to use and join a company that truly rewards your hard work and values your talented contributions. If you would like to compete for this highly sought-after position, please submit your resume to . PCS Software, Inc. is considered one of the best places to work because of our competitive compensation plans, comprehensive benefits plan with 100% company paid medical, dental, and vision premiums for you and your dependents, 401k with a 4% match, generous PTO package, a truly creative and fun working environment, complementary food/beverages in the office, paid training and development opportunities, paid gym/fitness facility membership, employee recognition programs, and amazing opportunities for career growth and personal development. Work Authorization No calls or agencies please. PCS Software, Inc. will only employ those who are legally authorized to work in the United States. This is not a position for which sponsorship will be provided. Individuals with temporary visas such as E, F-1, H-1, H-2, L, B, J, or TN or who need sponsorship for work authorization now or in the future, are not eligible for hire. This job description provides many examples of the types of responsibilities required but is in not intended to be a comprehensive list. The incumbent will complete other job responsibilities as needed which are not specifically described in this document. PCS Software, Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to sex, race, color, religion, national origin, age, marital status, political affiliation, sexual orientation, gender identity, genetic information, disability, or protected veteran status. We are committed to providing a workpl REQUIRED TECHNICAL EXPERIENCE Batchelor in Computer Science or equivalent Experience coding JAVA in an application server environment. Practical experience programming in at least one high-level language such as Python, PHP, or JavaScript. Understanding of relational databases such as SQL Server or MySQL. Deep understanding of Object-Oriented Programming. Experience with wire formats such as XML and JSON. Experience with web services communication (HTTP, REST). Awareness of database design (SQLite) and data structures. Basic knowledge of Git or source control. Excellent verbal and written communication skills. Agile experience is a plus. Experience with Test-Driven Development is a plus. Familiarity with DevOps and continuous delivery is a plus. Must be enthusiastic, positive, and a creative engineer with the ability to inspire others. SUCCESS FACTORS PCS Software is a company of motivated employees from a wide range of industries and backgrounds working toward a common goal - the success of our customers in the ground transportation industry. Our team works together and challenges each other to bring new ideas to the table to achieve our mission. That is, to create the most effective transportation management system in the country at delivering process improvements that immediately result in operational efficiencies and revenue generation for our customers. At a personal and interpersonal level, we are looking for individuals who thrive and excel in teams and demonstrate big-picture thinking, willingness to explore new avenues, be persistent when things do not go well, and be committed to delivering and maintaining a high Do/Say ratio. Strong communication skills, both oral and written, at the technical and managerial level, are also key to success. PCS Software is a company of motivated employees from a wide range of industries and backgrounds working toward a common goal - the success of our customers in the ground transportation industry. Our team works together and challenges each other to bring new ideas to the table to achieve our mission. That is, to create the most effective transportation management system in the country at delivering process improvements that immediately result in operational efficiencies and revenue generation for our customers. EDUCATION REQUIREMENTS Batchelor in Computer Science or equivalent with a GPA of 3.5 or higher.
      ","
            Be among the first 25 applicants
          ","
        
          PCS Software Inc
        
      ","
            Entry level
          ","
          Full-time
        "
Software Developer and Support Engineer,"Houston, TX","
        <p>As an application developer and support engineer you will develop and enhance our web-based CRM application, our interfaces, mobile asp.net application and potentially develop a new iOS/Android App.&nbsp;</p><p>&nbsp;</p><p>You will also troubleshoot potential problems with the application, interfaces, database, etc.&nbsp;You will be responsible for managing customer data, database administration and for developing and executing support utilities.&nbsp;You will also develop custom software for our customers including proposal templates, custom reports, website contact forms, and interfaces.</p><p>&nbsp;</p><p>The expectation for this position is a professional that is part of the TopBuilder family.&nbsp;That means you take ownership of your work, take responsibility for the company’s performance and reputation, you take initiative, and can be trusted working with customers including their confidential information.</p>
      ","
            Be among the first 25 applicants
          ","
        
          TopBuilder CRM
        
      ",N/A,"
          Full-time
        "
Jr Software Developer,"Houston, TX","
        <p>Let's get to programming!</p><p><br></p><p>Exciting new opportunity with a finance organization right here in Houston! This organization is looking for local talented Jr Software Developers to add to their team.</p><p>&nbsp;</p><p>Qualified Candidates will possess the following:</p><p>Up to 5 years of relevant experience</p><p>Strong understand of SQL with at least 1 year experience</p><p>Front end development experience</p><p>Excellent communication</p><p>Enthusiasm for problem solving</p><p>&nbsp;</p><p>&nbsp;</p><p><em>Must be willing to work onsite in Houston.</em></p><p>&nbsp;</p><p>If you are interested in discussing this role, please email Bethany at bharris@eprinc.com</p>
      ","
          84 applicants
        ","
        
          Emergent Professional Resources L.P. (EPR)
        
      ","
            Entry level
          ","
          Full-time
        "
Programmer - Jr.,"Houston, TX","
        <strong><u>About Us<br><br></u></strong>We are an IT staffing/placement and software development firm, specialized in Java/J2ee / Mean stack/ full stack/Data science and cloud computing domain &amp; providing technically skilled and competent candidates to clients in Northern America and Canada since 2010. From staffing to full implementation of projects we provide the highest quality IT Services.<br><br><strong><u>Requirements<br></u></strong><ul> <li>BS/MS/AS in CS/IT/CE</li> <li>Good understanding of OOP's concepts</li> <li>Exposure to basic coding languages Java, HTML5</li> <li>Positive attitude with the passion of learning</li></ul><strong>Why should apply?<br></strong><ul> <li>Faster growth in career by working with fortune 500 clients.</li> <li>Looking to enhance technical skills to compete effectively in the job market.</li> <li>Having a good GPA in BS/MS but not getting interview calls.</li> <li>Your skills are not letting you compete effectively with others.</li> <li>You want to start your career with a reputed organization like <strong>Google, Apple, eBay, Wal-Mart Labs, PayPal, Western Union, Cisco Systems, etc. (Our Candidates work with these organizations)<br></strong></li></ul><strong>Regards,<br>Rohit Yadav<br>Sr. Talent Acquisition Specialist<br><strong>Phone 510-989-4983<br></strong>Email:rohit@synergisticit.com<br>Website : https://[www.synergisticit.com]www.synergisticit.com<br>39141 Civic Centre Dr, Fremont, CA<br>94539, United States.</strong>
      ","
            Be among the first 25 applicants
          ","
        
          SynergisticIT
        
      ","
            Entry level
          ","
          Full-time
        "
Programmer level 3,"Houston, TX","
        <u><strong>PROGRAMMER ANALYST III<br><br></strong></u><strong><u>Job Summary<br><br></u></strong>The Programmer Analyst III under supervision of Manager- Informational Systems, develops in-house web applications for the Data Innovation Group. The programmer is expected to conduct system analysis, development and routine maintenance, with limited support from professional staff, to keep Data Innovation Group software products current with changing technologies. Will assist other programmers by analyzing user needs and designing web solutions.<br><br>ESSENTIAL DUTIES AND RESPONSIBILITIES: Other duties may be assigned.<br><ul> <li>Analyze, develop, support, and enhance key .NET (web-based and desktop) applications as determined by business unit needs</li> <li>Works closely with the team to assist in identifying systems improvements for current or future projects</li> <li>Creates and maintains all required technical documentation and processes</li> <li>Keeps abreast of the latest trends and technology related software and IT industry best practices</li> <li>Assisting in developing project specifications</li> <li>Offering technical guidance and direction when needed</li> <li>Assisting in developing any necessary standards</li> <li>Supporting existing products for internal and external clients</li> <li>Supply software product documentation for development and deployment</li> <li>Participates in design and code reviews</li> <li>Will require travel on a special needs basis</li> <li>On-site product installation</li> <li>Participate in the Company’s 24x7 support service commitment</li> <br><br></ul><strong><u>Qualification Requirements<br></u></strong><ul> <li>To perform this job successfully, an individual must be able to perform each essential duty satisfactorily</li> <li>The requirements listed are representative of the knowledge, skill, and/or ability required</li> <li>Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions</li> <br><br></ul><strong><u>Education And/Or Experience<br></u></strong><ul> <li>Bachelor's degree in Computer Science or related field</li> <li>7+ years programming experience with multiple languages and technologies such as .NET Core, .NET Framework, C#, JavaScript, Python, HTML5, CCS3, Angular, REST APIs</li> <li>Good knowledge of Oracle SQL databases -- creating queries, stored procedures, import and export tools </li> <li>Good understanding of the Oracle data dictionary</li> <li>Experience with using source control software</li> <li>Experience in supporting and maintaining multi-platform applications</li> <li>Strong time management, project management and organizational skills required</li> <li>Good communication skills to work with a variety of people on a variety of projects</li> <li>Familiar with project management techniques and processes</li> <li>Cloud experience a plus</li> <br><br></ul><strong><u>Language Skills<br></u></strong><ul> <li>Ability to read and interpret documents such as safety rules, operating and maintenance instructions, and procedure manuals</li> <li>Strong communication skills both written and spoken</li> <li>Ability to speak effectively before groups of customers or employees of organization</li> <br><br></ul><strong><u>Mathematical Skills<br></u></strong><ul> <li>Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals</li> <li>Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations</li> <br><br></ul><strong><u>Reasoning Ability<br></u></strong><ul> <li>Ability to apply commonsense understanding to carry out detailed but uninvolved written or oral instructions</li> <li>Ability to deal with problems involving a few concrete variables in standardized situations</li> <li>Ability to make decisions with incomplete information and propose solutions for business questions</li> <br><br></ul><strong><u>Certificates, Licenses, Registrations<br></u></strong><ul> <li>Valid driver’s license and a good driving record required</li> <br><br></ul><strong><u>Physical Demands<br></u></strong><ul> <li>The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job</li> <li>Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions</li> <li>While performing the duties of this job, the employee frequently is required to sit</li> <li>The employee is occasionally required to stand, walk, and reach with hands and arms</li> <li>Specific vision abilities required by this job include close vision, color vision, and ability to adjust focus. The employee may occasionally be asked to lift and/or move up to 10 pounds</li> <br><br></ul><strong><u>Work Environment<br></u></strong><ul> <li>The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job</li> <li>Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions</li> <li>The job is typically performed in a normal office environment. While performing the duties of this job, the employee may be exposed to fumes or airborne particles in other work areas</li> <li>The noise level in the work environment is usually moderate</li></ul>
      ","
            Be among the first 25 applicants
          ","
        
          Addison Group
        
      ","
            Associate
          ","
          Full-time
        "
